"ruleid","sourceip4","destinationip4","sourcednsname","destinationdnsname","protocol"
"ff8a3c58-7c31-52e0-9b0e-27723b203c91","","{""addr"":""*"",""allowed"":false}","","{""addr"":""*"",""allowed"":false}",""
"ee7131db-6059-5c9d-af7f-a6069c8a07de","","{""addr"":""*"",""allowed"":false}","","{""addr"":""*"",""allowed"":false}",""
"6348cc43-0fcb-56ba-b808-5933dbc00034","","{""addr"":""*"",""allowed"":false}","","{""addr"":""*"",""allowed"":false}",""
"538e3245-4788-5382-b03d-90252fbe0392","","{""addr"":""*"",""allowed"":false}","","{""addr"":""*"",""allowed"":false}",""
"f13276bd-73cf-54b0-924b-c8307f7634f5","","{""addr"":""*"",""allowed"":false}","","{""addr"":""*"",""allowed"":false,""children"":[{""addr"":""10.0.7.1:67""},{""addr"":""255.255.255.255:67""}]}",""
"3e88aa06-4ca2-500f-96f8-15f5f2022c68","","{""addr"":""*"",""allowed"":false}","","{""addr"":""*"",""allowed"":false,""children"":[{""addr"":""10.0.7.1:53""}]}",""
"45f1d204-951b-5a00-bb88-f57d05de7321","","{""addr"":""*"",""allowed"":false}","","{""addr"":""*"",""allowed"":false}",""
"3c0a7bd6-cbf0-5174-924a-364fdfa81e66","","{""addr"":""*"",""allowed"":false}","","{""addr"":""*"",""allowed"":false}",""
"2e7645df-ae19-58bc-8328-3e936c1125a9","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"ef71a43b-3c01-5f62-831c-3620658c46ff","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"bed6a087-2fdc-51ef-af58-eb84a937ae92","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"394d4296-cc53-5ac1-8b3f-831726db64c7","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"73f37d5c-3b21-5237-bfaf-550e5a7ceeae","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"9c496c9c-a98a-53c0-b6d7-8581db76a67f","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"12ac5dd2-8c71-51e8-8e33-a041fcb09438","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"3730fdb0-1b11-5343-907c-75c737ca2236","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"2e90d8ad-c89b-5d9a-8d5a-78aa18c0f9eb","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"bb5e5b34-ddf4-5a7b-9e3a-2cce93db1b1d","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"6d057832-b801-54b8-adcb-76f3c3f3627f","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"a3f82692-dceb-5d2a-a6e7-e65f0a0d5a07","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"e00ed89c-846e-531b-84fa-d6c7c3a445f6","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
"8b7da3c1-6d7b-5cf9-a64b-4f076743235d","","{""addr"":""*"",""allowed"":true}","","{""addr"":""*"",""allowed"":true}",""
